Wavelength (Angstroms), Normalized intensity, Element
7720.0, 9839, 
7720.1, 9834, 
7720.202, 9767, 
7720.304, 9678, 
7720.404, 9817, 
7720.506, 9841, 
7720.608, 9784, 
7720.71, 9287, 
7720.81, 9658, 
7720.912, 9814, 
7721.014, 9829, 
7721.116, 9837, 
7721.216, 9852, 
7721.318, 9841, 
7721.42, 9823, 
7721.52, 9547, 
7721.622, 9807, 
7721.724, 9824, 
7721.826, 9832, 
7721.926, 9788, 
7722.028, 9795, 
7722.13, 9778, 
7722.232, 9756, 
7722.332, 9718, 
7722.434, 9651, 
7722.536, 9490, 
7722.636, 9385, 
7722.738, 9508, 
7722.84, 9571, 
7722.942, 9637, 
7723.042, 9685, 
7723.144, 8770, 
7723.246, 7333, 
7723.348, 9636, 
7723.448, 9740, 
7723.55, 9786, 
7723.652, 9804, 
7723.752, 9819, 
7723.854, 9831, 
7723.956, 9805, 
7724.058, 9801, 
7724.158, 9823, 
7724.26, 9825, 
7724.362, 9829, 
7724.462, 9850, 
7724.564, 9807, 
7724.666, 9813, 
7724.768, 9827, 
7724.868, 9815, 
7724.97, 9802, 
7725.072, 9732, 
7725.174, 9643, 
7725.274, 9764, 
7725.376, 9852, 
7725.478, 9831, 
7725.578, 9748, 
7725.68, 9843, 
7725.782, 9530, 
7725.884, 9672, 
7725.984, 9800, 
7726.086, 9854, 
7726.188, 9865, 
7726.29, 9875, 
7726.39, 9882, 
7726.492, 9878, 
7726.594, 9858, 
7726.694, 9840, 
7726.796, 9807, 
7726.898, 9855, 
7727.0, 9847, 
7727.1, 9857, 
7727.202, 9856, 
7727.304, 9805, 
7727.404, 9653, 
7727.506, 8465, 
7727.608, 4339, 
7727.71, 8122, 
7727.81, 9568, 
7727.912, 9768, 
7728.014, 9787, 
7728.116, 9834, 
7728.216, 9847, 
7728.318, 9858, 
7728.42, 9867, 
7728.52, 9866, 
7728.622, 9874, 
7728.724, 9872, 
7728.826, 9874, 
7728.926, 9877, 
7729.028, 9877, 
7729.13, 9630, 
7729.232, 9873, 
7729.332, 9859, 
7729.434, 9823, 
7729.536, 9855, 
7729.636, 9884, 
7729.738, 9870, 
7729.84, 9878, 
7729.942, 9811, 
7730.042, 9837, 
7730.144, 9882, 
7730.246, 9765, 
