Wavelength (Angstroms), Normalized intensity, Element
6062.0, 9899, 
6063.0, 9798, 
6064.0, 9720, 
6065.0, 9887, 
6066.0, 9896, 
6067.0, 9911, 
6068.0, 9846, 
6069.0, 9918, 
6070.0, 9831, 
6071.0, 9896, 
6072.0, 9888, 
6073.0, 9907, 
6074.0, 9849, 
6075.0, 9870, 
6076.0, 9851, 
6077.0, 9675, 
6078.0, 9883, 
6079.0, 5896, 
6080.0, 9741, 
6081.0, 9929, 
6082.0, 9904, 
6083.0, 9928, 
6084.0, 9841, 
6085.0, 9886, 
6086.0, 9920, 
6087.0, 9865, 
6088.0, 9729, 
6089.0, 9797, 
6090.0, 9866, 
6091.0, 9896, 
6092.0, 9018, 
6093.0, 9895, 
6094.0, 9911, 
6095.0, 9906, 
6096.0, 9882, 
6097.0, 9902, 
6098.0, 9908, 
6099.0, 9877, 
6100.0, 9905, 
6101.0, 9848, 
6102.0, 9655, 
6103.0, 9539, 
6104.0, 9893, 
6105.0, 9916, 
6106.0, 9884, 
6107.0, 9852, 
6108.0, 9680, 
6109.0, 9819, 
6110.0, 9894, 
6111.0, 9262, 
6112.0, 9877, 
6113.0, 9572, 
6114.0, 9914, 
6115.0, 9932, 
6116.0, 9527, 
6117.0, 9413, 
6118.0, 9900, 
6119.0, 9890, 
6120.0, 9872, 
6121.0, 9531, 
6122.0, 8676, 
6123.0, 9749, 
6124.0, 9847, 
6125.0, 7997, 
6126.0, 9874, 
6127.0, 9906, 
6128.0, 9249, 
6129.0, 7756, 
6130.0, 9872, 
6131.0, 9868, 
6132.0, 9713, 
6133.0, 9903, 
6134.0, 9551, 
6135.0, 9896, 
6136.0, 9838, 
6137.0, 3855, 
6138.0, 9675, 
6139.0, 9830, 
6140.0, 9891, 
6141.0, 9748, 
6142.0, 9636, 
6143.0, 9898, 
6144.0, 9916, 
6145.0, 7248, 
6146.0, 9883, 
6147.0, 9879, 
6148.0, 9870, 
6149.0, 9711, 
6150.0, 9865, 
6151.0, 9898, 
6152.0, 9916, 
6153.0, 9910, 
6154.0, 9819, 
6155.0, 9212, 
6156.0, 9132, 
6157.0, 9884, 
6158.0, 9826, 
6159.0, 9858, 
6160.0, 9869, 
6161.0, 9768, 
6162.0, 7368, 
6163.0, 9715, 
6164.0, 9819, 
6165.0, 9873, 
6166.0, 9824, 
6167.0, 9894, 
6168.0, 9864, 
6169.0, 4826, 
6170.0, 9548, 
6171.0, 9544, 
6172.0, 9828, 
6173.0, 9850, 
6174.0, 9906, 
6175.0, 9854, 
6176.0, 9864, 
6177.0, 9700, 
6178.0, 9870, 
6179.0, 9850, 
6180.0, 9446, 
6181.0, 9869, 
6182.0, 9788, 
6183.0, 9805, 
6184.0, 9784, 
6185.0, 9846, 
6186.0, 9873, 
6187.0, 9889, 
6188.0, 5674, 
6189.0, 9365, 
6190.0, 9895, 
6191.0, 9761, 
6192.0, 9801, 
6193.0, 9854, 
6194.0, 9845, 
6195.0, 9831, 
6196.0, 9904, 
6197.0, 9913, 
6198.0, 9894, 
6199.0, 9892, 
6200.0, 9893, 
6201.0, 9809, 
6202.0, 9909, 
6203.0, 9881, 
6204.0, 9885, 
6205.0, 9889, 
6206.0, 9895, 
6207.0, 9889, 
6208.0, 9875, 
6209.0, 9871, 
6210.0, 9903, 
6211.0, 9902, 
6212.0, 9613, 
6213.0, 9857, 
6214.0, 9832, 
6215.0, 9113, 
6216.0, 9845, 
6217.0, 9891, 
6218.0, 9899, 
6219.0, 9861, 
6220.0, 9720, 
6221.0, 9870, 
6222.0, 9891, 
6223.0, 9876, 
6224.0, 7425, 
6225.0, 9845, 
6226.0, 9891, 
6227.0, 9891, 
6228.0, 9879, 
6229.0, 9880, 
6230.0, 9679, 
6231.0, 9359, 
6232.0, 9896, 
6233.0, 9850, 
6234.0, 9855, 
6235.0, 9879, 
6236.0, 9852, 
6237.0, 9784, 
6238.0, 9831, 
6239.0, 9870, 
6240.0, 9405, 
6241.0, 9875, 
6242.0, 9866, 
6243.0, 9798, 
6244.0, 9604, 
6245.0, 9859, 
6246.0, 9718, 
6247.0, 9833, 
6248.0, 9839, 
6249.0, 9720, 
6250.0, 9838, 
6251.0, 9890, 
6252.0, 9877, 
6253.0, 9867, 
6254.0, 9651, 
6255.0, 9856, 
6256.0, 9009, 
6257.0, 9871, 
6258.0, 9728, 
6259.0, 9812, 
6260.0, 9858, 
6261.0, 9705, 
6262.0, 9789, 
6263.0, 9881, 
6264.0, 9870, 
6265.0, 9628, 
6266.0, 9798, 
6267.0, 9854, 
6268.0, 9860, 
6269.0, 9845, 
6270.0, 9494, 
6271.0, 9835, 
6272.0, 9777, 
6273.0, 9771, 
6274.0, 9743, 
6275.0, 9882, 
6276.0, 9913, 
6276.61, 8049, O2  a 
6277.61, 8883, 
6278.61, 9881, 
6279.61, 9830, 
6280.61, 4153, 
6281.61, 9852, 
6282.61, 8980, 
6283.61, 9890, 
6284.61, 9853, 
6285.61, 9896, 
6286.61, 9895, 
6287.61, 9823, 
6288.61, 9899, 
6289.61, 9879, 
6290.61, 9738, 
6291.61, 9865, 
6292.61, 9703, 
6293.61, 9806, 
6294.61, 9847, 
6295.61, 9896, 
6296.61, 9796, 
6297.61, 9875, 
6298.61, 9885, 
6299.61, 7894, 
6300.61, 9796, 
6301.61, 7884, 
6302.61, 8996, 
6303.61, 9896, 
6304.61, 9908, 
6305.61, 9715, 
6306.61, 9586, 
6307.61, 9822, 
6308.61, 9889, 
6309.61, 9880, 
6310.61, 7794, 
6311.61, 9715, 
6312.61, 9900, 
6313.61, 9888, 
6314.61, 6855, 
6315.61, 9881, 
6316.61, 9628, 
6317.61, 9718, 
6318.61, 9061, 
6319.61, 9611, 
6320.61, 9893, 
6321.61, 9907, 
6322.61, 8667, 
6323.61, 9899, 
6324.61, 9852, 
6325.61, 9897, 
6326.61, 9897, 
6327.61, 6335, 
6328.61, 9909, 
6329.61, 9557, 
6330.61, 9871, 
6331.61, 9891, 
6332.61, 9895, 
6333.61, 9864, 
6334.61, 9891, 
6335.61, 9806, 
6336.61, 9604, 
6337.61, 9897, 
6338.61, 9876, 
6339.61, 9906, 
6340.61, 9891, 
6341.61, 9818, 
6342.61, 9710, 
6343.61, 9587, 
6344.61, 9752, 
6345.61, 9848, 
6346.61, 9843, 
6347.61, 9856, 
6348.61, 9896, 
6349.61, 9866, 
6350.61, 9820, 
6351.61, 9869, 
6352.61, 9841, 
6353.61, 9810, 
6354.61, 9763, 
6355.61, 9822, 
6356.61, 9868, 
6357.61, 9891, 
6358.61, 7059, 
6359.61, 9755, 
6360.61, 9623, 
6361.61, 9511, 
6362.61, 9544, 
6363.61, 9752, 
6364.61, 9525, 
6365.61, 9853, 
6366.61, 9712, 
6367.61, 9890, 
6368.61, 9829, 
6369.61, 9827, 
6370.61, 9742, 
6371.61, 9701, 
6372.61, 9876, 
6373.61, 9859, 
6374.61, 9855, 
6375.61, 9844, 
6376.61, 9895, 
6377.61, 9838, 
6378.61, 9866, 
6379.61, 9810, 
6380.61, 9752, 
6381.61, 9814, 
6382.61, 9822, 
6383.61, 9789, 
6384.61, 8879, 
6385.61, 9835, 
6386.61, 9871, 
6387.61, 9869, 
6388.61, 9880, 
6389.61, 9878, 
6390.61, 9865, 
6391.61, 9873, 
6392.61, 9545, 
6393.61, 2587, 
6394.61, 9855, 
6395.61, 9871, 
6396.61, 9861, 
6397.61, 9871, 
6398.61, 9892, 
6399.61, 9409, 
6400.61, 9670, 
6401.61, 9873, 
6402.61, 9866, 
6403.61, 9807, 
6404.61, 9883, 
6405.61, 9585, 
6406.61, 9899, 
6407.61, 9632, 
6408.61, 9510, 
6409.61, 9893, 
6410.61, 9862, 
6411.61, 4313, 
6412.61, 9868, 
6413.61, 9788, 
6414.61, 8425, 
6415.61, 9766, 
6416.61, 9868, 
6417.61, 9670, 
6418.61, 9860, 
6419.61, 9303, 
6420.61, 9891, 
6421.61, 9589, 
6422.61, 9896, 
6423.61, 9889, 
6424.61, 9891, 
6425.61, 9824, 
6426.61, 9840, 
6427.61, 9901, 
6428.61, 9869, 
6429.61, 9849, 
6430.61, 9728, 
6431.61, 9820, 
6432.61, 8921, 
6433.61, 9794, 
6434.61, 9844, 
6435.61, 9897, 
6436.61, 9857, 
6437.61, 9677, 
6438.61, 9736, 
6439.61, 9739, 
6440.61, 9800, 
6441.61, 9853, 
6442.61, 9884, 
6443.61, 9839, 
6444.61, 9840, 
6445.61, 9881, 
6446.61, 9876, 
6447.61, 9902, 
6448.61, 9816, 
6449.61, 9668, 
6450.61, 9802, 
6451.61, 9747, 
6452.61, 9883, 
6453.61, 9735, 
6454.61, 9878, 
6455.61, 5082, 
6456.61, 9783, 
6457.61, 9866, 
6458.61, 9871, 
6459.61, 9873, 
6460.61, 9896, 
6461.61, 9857, 
6462.61, 2653, 
6463.61, 9866, 
6464.61, 9575, 
6465.61, 9890, 
6466.61, 9852, 
6467.61, 9895, 
6468.61, 9901, 
6469.61, 9837, 
6470.61, 9844, 
6471.61, 5780, 
6472.61, 9878, 
6473.61, 9892, 
6474.61, 9834, 
6475.61, 5581, 
6476.61, 9856, 
6477.61, 9878, 
6478.61, 9858, 
6479.61, 9876, 
6480.61, 9890, 
6481.61, 9862, 
6482.61, 9858, 
6483.61, 9842, 
6484.61, 9855, 
6485.61, 9872, 
6486.61, 9832, 
6487.61, 9883, 
6488.61, 9866, 
6489.61, 9791, 
6490.61, 9751, 
6491.61, 7880, 
6492.61, 9869, 
6493.61, 9403, 
6494.61, 9408, 
6495.61, 9662, 
6496.61, 9486, 
6497.61, 9833, 
6498.61, 9860, 
6499.61, 5415, 
6500.61, 9895, 
6501.61, 9394, 
6502.61, 9869, 
6503.61, 9841, 
6504.61, 9870, 
6505.61, 9864, 
6506.61, 9836, 
6507.61, 9867, 
6508.61, 9834, 
6509.61, 9545, 
6510.61, 9891, 
6511.61, 9874, 
6512.61, 9828, 
6513.61, 9844, 
6514.61, 9861, 
6515.61, 9840, 
6516.61, 9697, 
6517.61, 9877, 
6518.61, 9723, 
6519.61, 9869, 
6520.61, 9879, 
6521.61, 9888, 
6522.61, 9842, 
6523.61, 9822, 
6524.61, 9894, 
6525.61, 9895, 
6526.61, 8695, 
6527.61, 9764, 
6528.61, 9578, 
6529.61, 9855, 
6530.61, 9826, 
6531.61, 9874, 
6532.61, 9834, 
6533.61, 9862, 
6534.61, 9854, 
6535.61, 9837, 
6536.61, 9795, 
6537.61, 9872, 
6538.61, 9678, 
